watch result all time - 16369ms 
=====================>100.00 % |  16369 ms | InvoiceController.createInvoiceV5
============================>0.11 % |  18 ms | ExpenseReportServiceV2.blockCorpBillOperate:c3b24448-7780-4c45-bb2f-963d2d7a156b
===================================>0.11 % |  18 ms | ReportService.whetherCorpExpenseReport:c3b24448-7780-4c45-bb2f-963d2d7a156b
==========================================>0.11 % |  18 ms | ReportBaseService.whetherCorpExpenseReport:c3b24448-7780-4c45-bb2f-963d2d7a156b
=================================================>0.10 % |  17 ms | ExpenseReportMPMapper.countExpenseReportByCommand:ExpenseReportCommonSearchCommand@efc4617
============================>0.10 % |  16 ms | ExpenseReportServiceV2.getExpenseReportLock:c3b24448-7780-4c45-bb2f-963d2d7a156b,100,600000,false,LockOperateEnum@707fe0f3
===================================>0.09 % |  15 ms | ReportService.selectByExpenseReportOid:c3b24448-7780-4c45-bb2f-963d2d7a156b
==========================================>0.09 % |  15 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@12b4ddb6
=================================================>0.08 % |  13 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@29b3e183
============================>96.18 % |  15744 ms | InvoiceServiceImpl.upsertInvoice:InvoiceViewDTO@2afc1966,2dc11c99-2099-495b-bc97-099e8b2a295f
===================================>1.84 % |  302 ms | ReportService.findByExpenseReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b
==========================================>1.84 % |  302 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@56c9358f
=================================================>1.84 % |  302 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@540c4650
===================================>0.07 % |  12 ms | EntityLabelServiceImpl.selectEntityLabels:SingletonList@23b5499c,LabelCategory@3fb0b9ef,EntityLabelSearchContext@7fabaa49
==========================================>0.07 % |  12 ms | EntityLabelMapper.selectEntityLabels:SingletonList@23b5499c,2
===================================>0.64 % |  104 ms | ExpensePushServiceImpl.calculateUser:InferUserDTO@741d49d3,null
==========================================>0.64 % |  104 ms | UserService.findOneMayLeavedByEmployeeIDAndTenantId:1798976097732612098,0001
=================================================>0.06 % |  10 ms | UserAuthorityService.findByUserId:602583
========================================================>0.06 % |  10 ms | UserAuthorityMapper.findByUserId:602583
=================================================>0.25 % |  41 ms | ContactService.selectById:1798278924258689033
========================================================>0.25 % |  41 ms | BaseMapper.selectById:1798278924258689033
=================================================>0.06 % |  10 ms | PhoneService.findPhonesByContactId:1798278924258689033
========================================================>0.06 % |  10 ms | PhoneMapper.findPhonesByContactId:1798278924258689033
=================================================>0.19 % |  31 ms | DepartmentUserService.findDepartmentByUserId:602583
========================================================>0.06 % |  10 ms | BaseMapper.selectList:EntityWrapper@505b21c1
========================================================>0.12 % |  20 ms | DepartmentMapper.findByIdIn:HashSet@16a3a04
===================================>0.32 % |  53 ms | UserAccountService.getUserSummaryInfo:2dc11c99-2099-495b-bc97-099e8b2a295f
==========================================>0.32 % |  53 ms | UserMapper.selectOneByOID:2dc11c99-2099-495b-bc97-099e8b2a295f
===================================>0.38 % |  62 ms | ExpenseTypeService.selectById:1798626251100164172
==========================================>0.38 % |  62 ms | ExpenseTypeServiceImpl.getContainsCategoryAndFieldById:1798626251100164172
=================================================>0.38 % |  62 ms | ExpenseTypeMpMapper.selectOneByIdWithCascade:1798626251100164172
===================================>0.32 % |  53 ms | ExpenseTypeService.isCompanyDisabled:1798976149913948162,1798626251100164172
==========================================>0.32 % |  53 ms | ExpenseTypeMpMapper.selectOneById:1798626251100164172
===================================>2.67 % |  437 ms | InvoiceCheckService.checkData:InvoiceViewDTO@2afc1966,UserSummaryInfoDTO@672716f2,ExpenseType@14fabba9,ExpenseReport@f825a2f,false,false
==========================================>0.28 % |  46 ms | ExpenseMapper.getSimpleByInvoiceOIDs:SingletonList@1f197434
==========================================>0.35 % |  57 ms | ExpenseTypeService.getFilteredExpenseTypeIdsByDepartmentOID:20e6384a-9a83-4066-8967-4a7e624742b1,SingletonList@3bba187f
=================================================>0.12 % |  19 ms | DepartmentService.selectByDepartmentOID:20e6384a-9a83-4066-8967-4a7e624742b1
========================================================>0.06 % |  10 ms | BaseI18nService.convertOneByLocale:Department@1d42ca1b
=================================================>0.16 % |  27 ms | DepartmentGroupService.selectDepartmentGroupByDepartmentId:974461721816890332,false
========================================================>0.10 % |  16 ms | BaseMapper.selectById:974461721816890332
========================================================>0.07 % |  11 ms | DepartmentGroupMapper.selectDepartmentGroupByDepartmentId:1798976097732612098,974461721816890332,false,null
=================================================>0.07 % |  11 ms | ExpenseTypeMultipleAttributeService.getAttributesByExpTypeIdsAndType:SingletonList@3bba187f,MultipleAttrType@77417f2b
========================================================>0.07 % |  11 ms | ExpenseTypeMultipleAttributeMapper.selectBySearchCommand:ExpenseTypeMultipleAttributeSearchCommand@4d34eaac
==========================================>1.42 % |  233 ms | ReceiptCheckService.getReceiptExpenseMapping:1798976149913948162,1798976097732612098
=================================================>1.42 % |  233 ms | ReceiptCheckMapper.getTenantAndCompanyOpt:1798976149913948162,1798976097732612098,true
==========================================>0.60 % |  98 ms | ExpenseMapper.selectByInvoiceOIDWithCascade:a554e733-490e-487b-8a73-b340ed05faca
===================================>0.29 % |  47 ms | ExpenseTypeService.findExpenseTypeById:1798626251100164172
==========================================>0.29 % |  47 ms | BaseI18nService.selectOneBaseTableInfoWithI18n:1798626251100164172,Class@6a90b5e8
===================================>0.28 % |  46 ms | ExpenseTypeService.findExpenseTypeById:1798626251100164172
==========================================>0.28 % |  46 ms | BaseI18nService.selectOneBaseTableInfoWithI18n:1798626251100164172,Class@6a90b5e8
===================================>0.07 % |  11 ms | CurrencyRateServiceImpl.getCompanySetOfBooksBaseCurrency:050a8d03-80c0-4ab1-ada6-546aedaa98af
==========================================>0.06 % |  10 ms | SetOfBooksService.selectById:1798976137557528578
===================================>0.32 % |  53 ms | CustomFormValueService.deleteValues:a554e733-490e-487b-8a73-b340ed05faca,BizType@11401f39
==========================================>0.10 % |  17 ms | CustomFormValueMapper.deleteByBizOIDAndBizType:a554e733-490e-487b-8a73-b340ed05faca,1801
==========================================>0.11 % |  18 ms | CustomFormValueShardingService.deleteValuesMessageKeyCostCenterItem:a554e733-490e-487b-8a73-b340ed05faca
=================================================>0.11 % |  18 ms | CustomFormValueShardingMapper.deleteByBizOID:a554e733-490e-487b-8a73-b340ed05faca,99999
==========================================>0.11 % |  18 ms | CustomFormValueShardingService.deleteValuesExpenseType:a554e733-490e-487b-8a73-b340ed05faca
=================================================>0.11 % |  18 ms | CustomFormValueShardingMapper.deleteByBizOID:a554e733-490e-487b-8a73-b340ed05faca,1801
===================================>1.42 % |  232 ms | BaseMapper.updateAllColumnById:Invoice@7ea7233e
===================================>0.07 % |  11 ms | ExpenseReportInvoiceServiceImpl.findExpenseReportIdByInvoiceId:1946130299251605505
==========================================>0.07 % |  11 ms | ExpenseReportInvoiceMapper.findExpenseReportIdByInvoiceId:1946130299251605505
===================================>0.18 % |  30 ms | ExpenseExpandService.saveExpandInfo:InvoiceViewDTO@2afc1966,ExpenseType@14fabba9
==========================================>0.07 % |  11 ms | BaseMapper.selectOne:ExpCar@50a508ce
==========================================>0.12 % |  19 ms | BaseMapper.updateById:ExpCar@274ce502
===================================>0.06 % |  10 ms | BaseMapper.selectList:EntityWrapper@79e62f4e
===================================>0.06 % |  10 ms | InvoiceApplicationServiceImpl.upsertInvoiceApplication:ArrayList@4874513f,a554e733-490e-487b-8a73-b340ed05faca,1946130299251605505,1798976097732612098
==========================================>0.06 % |  10 ms | InvoiceApplicationMapper.getInvoiceApplicationByInvoiceOID:SingletonList@63fca0dc
===================================>3.28 % |  537 ms | ExpensePushServiceImpl.calculateUser:InferUserDTO@305784a9,null
==========================================>3.27 % |  536 ms | UserService.findOneMayLeavedByEmployeeIDAndTenantId:1798976097732612098,0001
=================================================>2.69 % |  441 ms | UserMapper.findByTenantIDAndEmployeeID:1798976097732612098,ArrayList@2dcd3fc3
=================================================>0.06 % |  10 ms | UserAuthorityService.findByUserId:602583
========================================================>0.06 % |  10 ms | UserAuthorityMapper.findByUserId:602583
=================================================>0.07 % |  11 ms | ContactService.selectById:1798278924258689033
========================================================>0.07 % |  11 ms | BaseMapper.selectById:1798278924258689033
=================================================>0.39 % |  64 ms | DepartmentUserService.findDepartmentByUserId:602583
========================================================>0.06 % |  10 ms | BaseMapper.selectList:EntityWrapper@6430a166
========================================================>0.33 % |  54 ms | DepartmentMapper.findByIdIn:HashSet@110202d1
===================================>0.20 % |  33 ms | UserAccountService.getUserSummaryInfo:2dc11c99-2099-495b-bc97-099e8b2a295f
==========================================>0.20 % |  33 ms | UserMapper.selectOneByOID:2dc11c99-2099-495b-bc97-099e8b2a295f
===================================>0.07 % |  12 ms | RelatedApplicationItineraryBudgetInvoiceService.saveRelatedApplicationItineraryBudgetInvoice:null,1946130299251605505,1798976097732612098
==========================================>0.07 % |  12 ms | RelatedApplicationItineraryBudgetInvoiceProcessorImpl.selectEntityPage:RelatedApplicationItineraryBudgetInvoiceSearchCommand@38b1dac4,PageRequest@568331fb
=================================================>0.07 % |  12 ms | RelatedApplicationItineraryBudgetInvoiceMapper.selectEntityByParam:RelatedApplicationItineraryBudgetInvoiceSearchCommand@38b1dac4,HeliosPage@3ed0ea0a
===================================>3.81 % |  623 ms | ReceiptServiceImpl.saveInvoiceReceipt:ArrayList@6eb81ad3,InvoiceViewDTO@2afc1966,ArrayList@1cf173ef,InvoiceUserContext@4ba0e182,ExpenseType@14fabba9,true,InvoiceViewDTO@2afc1966,null
==========================================>0.07 % |  12 ms | ReceiptLineInvRelServiceImpl.getRelByInvoiceOIDs:SingletonList@22d07722
=================================================>0.07 % |  12 ms | ReceiptLineInvMappingMapper.selectRelByInvoiceOID:SingletonList@22d07722
==========================================>0.13 % |  21 ms | ReceiptServiceImpl.selectListByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca,1798976097732612098
=================================================>0.13 % |  21 ms | ReceiptLineInvRelServiceImpl.getRelPageByInvoiceOIDs:SingletonList@30feb5ef,PageRequest@4bcbe48c
