===================================>34.47 % |  5642 ms | ExpenseReportInvoiceService.upsertExpenseReportInvoice:InvoiceViewDTO@2afc1966,2dc11c99-2099-495b-bc97-099e8b2a295f,1798976097732612098,ExpenseOperateScene@596d452f
==========================================>0.07 % |  11 ms | ReportService.findByExpenseReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b
=================================================>0.07 % |  11 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@1900db8a
========================================================>0.07 % |  11 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@2b479dbe
==========================================>2.60 % |  426 ms | ExpenseTypeService.isPermissionOk:c3b24448-7780-4c45-bb2f-963d2d7a156b,2dc11c99-2099-495b-bc97-099e8b2a295f,SingletonList@24785b9c,ExpenseOperateScene@596d452f
=================================================>0.06 % |  10 ms | BaseBOProcessorImplDeprecated.selectEntityPage:ExpenseTypeCompanyMappingSearchCommand@3e24dfd7,Page@354c1085
========================================================>0.06 % |  10 ms | BaseBOMapperDeprecated.selectBySearchCommand:ExpenseTypeCompanyMappingSearchCommand@3e24dfd7,Page@354c1085
=================================================>0.07 % |  11 ms | BaseMapper.selectByMap:HashMap@3d7e6ceb
=================================================>0.12 % |  19 ms | BaseBOProcessorImplDeprecated.selectEntityListMax10000:ExpenseTypeCompanyGroupMappingSearchCommand@1480790b
========================================================>0.12 % |  19 ms | BaseBOMapperDeprecated.selectBySearchCommand:ExpenseTypeCompanyGroupMappingSearchCommand@1480790b,Page@68551252
=================================================>0.07 % |  12 ms | UserAccountService.getUserSummaryInfo:2dc11c99-2099-495b-bc97-099e8b2a295f
========================================================>0.07 % |  12 ms | UserMapper.selectOneByOID:2dc11c99-2099-495b-bc97-099e8b2a295f
=================================================>1.91 % |  313 ms | ExpenseTypeMpMapper.selectUserExpenseTypeList:1798976097732612098,1798976137557528578,null,null,null,null
=================================================>0.12 % |  19 ms | CustomFormServiceGateImpl.selectFormExpenseTypeOIDs:4818770f-6599-4965-9690-d622f90fc018,null
========================================================>0.06 % |  10 ms | ExpenseTypeServiceGateImpl.selectOIDsBySetOfBoosId:1798976097732612098,null
===============================================================>0.06 % |  10 ms | ExpenseTypeService.selectOIDsBySetOfBoosId:1798976097732612098,null
======================================================================>0.06 % |  10 ms | ExpenseTypeMpMapper.selectOIDsBySetOfBoosId:1798976097732612098,null
=================================================>0.07 % |  11 ms | BaseBOProcessorImplDeprecated.selectEntityPage:ExpenseTypeCompanyMappingSearchCommand@17eafed4,Page@542aed95
========================================================>0.07 % |  11 ms | BaseBOMupsertExpenseReportInvoiceapperDeprecated.selectBySearchCommand:ExpenseTypeCompanyMappingSearchCommand@17eafed4,Page@542aed95
=================================================>0.16 % |  26 ms | BaseBOProcessorImplDeprecated.selectEntityListMax10000:ExpenseTypeCompanyGroupMappingSearchCommand@265fce90
========================================================>0.16 % |  26 ms | BaseBOMapperDeprecated.selectBySearchCommand:ExpenseTypeCompanyGroupMappingSearchCommand@265fce90,Page@683e205e
==========================================>0.06 % |  10 ms | ExpenseTypeMpMapper.getIdByExpenseTypeOID:8f4fc9f2-0f43-4665-852b-db8253fd0222,1798976137557528578
==========================================>3.40 % |  556 ms | ExpenseApportionServiceImpl.batchUpsert:UpdateExpenseApportionCommand@37c7200a,HashMap@d566029
=================================================>0.19 % |  31 ms | ExpenseService.getSimpleByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca,InvoiceWithMemberCommand@f4b88bc
========================================================>0.07 % |  12 ms | ExpenseMapper.getSimpleByInvoiceOIDs:SingletonList@6460a7bc
========================================================>0.06 % |  10 ms | ExpenseTypeServiceImpl.selectBaseById:1798626251100164172
===============================================================>0.06 % |  10 ms | ExpenseTypeMpMapper.selectOneById:1798626251100164172
=================================================>0.13 % |  22 ms | ReportService.selectByExpenseReportByInvoiceOIDAndParentNonSplit:a554e733-490e-487b-8a73-b340ed05faca
========================================================>0.07 % |  11 ms | ExpenseReportInvoiceServiceImpl.findByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
===============================================================>0.07 % |  11 ms | ExpenseReportInvoiceMapper.findByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
========================================================>0.07 % |  11 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@723e4fb7
===============================================================>0.07 % |  11 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@6f4527d5
=================================================>0.07 % |  11 ms | ExpenseApportionMPMapper.selectByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
=================================================>0.13 % |  21 ms | CustomFormValueService.getCustomFormValueByBizIdAndInMessageKeys:c3b24448-7780-4c45-bb2f-963d2d7a156b,ArrayList@46b21fd1,zh_cn
========================================================>0.06 % |  10 ms | CustomFormValueCacheService.getCustomFormValue:c3b24448-7780-4c45-bb2f-963d2d7a156b
===============================================================>0.06 % |  10 ms | CustomFormValueMapper.findByBizOIDAndParam:CustomFormValueSearchParam@5bc17afb
========================================================>0.06 % |  10 ms | CustomFormFieldService.findViewFieldsByFormOID:1001,null,2dc11c99-2099-495b-bc97-099e8b2a295f,4818770f-6599-4965-9690-d622f90fc018,zh_cn,1798976097732612098,true,c3b24448-7780-4c45-bb2f-963d2d7a156b
=================================================>0.07 % |  11 ms | DepartmentService.selectOneSimpleByOIDWithI18n:20e6384a-9a83-4066-8967-4a7e624742b1
========================================================>0.06 % |  10 ms | DepartmentMapper.selectOneSimpleByOIDWithI18n:null,20e6384a-9a83-4066-8967-4a7e624742b1,zh_cn
